Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC (USD),URL,Traffic Volume,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
copper pipe light,1,1,90,15,0.49,https://ledsone.co.uk/collections/pipe-lighting,7,0.05,3,1,44000000,"14,18,22,22,18,22,4,14,14,14,18,18",02/01/2026 04:12:16,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
copper pipe wall lights,1,1,110,3,0,https://ledsone.co.uk/collections/pipe-lighting,14,0.11,0,1,15900000,"9,9,52,100,80,33,80,42,52,52,23,23",01/05/2026 16:56:42,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",informational,Organic
240 volt 12 volt dc transformer,1,1,260,,0.27,https://ledsone.co.uk/products/dc12v-80w-ip20-universal-regulated-switching-power-supply,64,0.52,17,1,29600000,"67,76,8,8,8,10,10,5,8,13,13,10",01/26/2026 17:36:00,"Video, Video Carousel, Popular products, Related searches","commercial, informational",Organic
vintage retro light shades,1,1,170,8,0.27,https://ledsone.co.uk/collections/lampshades,42,0.34,11,1,15200000,"29,22,29,29,29,22,18,18,14,35,81,100",01/03/2026 21:49:15,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
cage lamp pendant,1,1,110,4,0.59,https://ledsone.co.uk/collections/wire-cage-pendant-light,27,0.22,15,1,4630000,"42,52,52,52,66,66,52,23,52,52,66,66",03/01/2026 04:04:12,"Video, Image, Popular products, Related searches","informational, transactional",Organic
twisted lighting,1,1,90,6,0.76,https://ledsone.co.uk/collections/2core-twisted,2,0.01,1,1,21200000,"6,6,43,12,81,100,6,6,28,43,6,6",02/15/2026 09:26:57,"Image pack, Video, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
ledstone,1,1,110,19,3.52,https://ledsone.co.uk/,7,0.05,24,0.79,1110000,"50,64,50,50,64,64,64,100,78,100,78,100",01/23/2026 09:58:53,"Knowledge panel, Local pack, Image pack, Video, Image, Find results on, Related searches",commercial,Organic
conduit lighting,1,1,260,9,0.49,https://ledsone.co.uk/collections/conduit-lighting,64,0.52,31,1,52600000,"29,54,54,54,43,54,54,66,54,81,54,66",02/18/2026 08:05:34,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
light fixture with plug in,1,1,110,22,0.35,https://ledsone.co.uk/collections/plugin-lighting,14,0.11,4,1,32100000,"82,100,82,82,64,64,64,41,0,52,82,64",02/24/2026 00:47:38,"Video, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
vintage ceiling lamp shades,1,1,140,11,0.25,https://ledsone.co.uk/collections/lampshades,34,0.27,8,1,9450000,"52,100,52,80,66,80,66,42,52,66,66,66",01/18/2026 18:05:44,"Image pack, Video, Image, Popular products, Related searches, AI overview","commercial, informational",Organic
spider pendant lamp,1,1,210,6,0.44,https://ledsone.co.uk/collections/spider-light,27,0.22,11,1,4630000,"29,29,36,6,36,36,19,9,19,36,29,36",01/31/2026 08:04:26,"Image pack, Video, Image, Popular products, Related searches",transactional,Organic
retro light shades,1,1,590,20,0.25,https://ledsone.co.uk/collections/lampshades,146,1.2,36,1,38400000,"67,45,24,24,100,76,20,20,36,36,24,36",02/27/2026 19:33:05,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
spider light fitting,1,1,390,8,0.36,https://ledsone.co.uk/collections/spider-light,51,0.41,18,1,27100000,"29,66,66,54,44,54,44,36,54,54,54,54",02/05/2026 22:41:00,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
pipe lights,1,1,260,5,0.2,https://ledsone.co.uk/collections/pipe-lighting,34,0.27,6,1,153000000,"11,17,9,11,11,11,9,11,14,59,72,100",01/27/2026 22:08:41,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
old light shades,1,1,110,,0.25,https://ledsone.co.uk/collections/lampshades,27,0.22,6,1,152000000,"21,15,28,28,28,53,43,34,34,15,15,53",01/27/2026 00:50:13,"Video, Image, Popular products, Related searches","commercial, informational",Organic
ledsone,1,1,480,45,1.76,https://ledsone.co.uk/,384,3.15,675,1,428000,"54,66,81,81,81,54,44,66,81,81,81,100",01/31/2026 00:06:27,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Related searches",navigational,Organic
